,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Jesd,,,1,5,8,,,,4,1,,,,1,,2,10,1,,,1,8,,10,8,,,,1,,,,5,1,5,,,,,8,1,,,,,,,,,,8,7,6,3,7
Ztfz,,,8,,5,2,,5,1,,,10,,5,,,5,,7,,,,7,,1,6,,,10,2,,7,2,,,4,,,,6,7,4,,,,4,,1,,,,10,4,,
Zvowx,,10,,,,,,,8,8,,,,,,10,,,8,2,,3,6,,,,10,,8,,7,4,3,,,,,10,,2,,12,4,,,,,,,,,,,,
Eklc,,1,,,2,,,7,5,,,4,,8,,,,,,,,,,3,,,,,2,1,,,6,,6,1,,1,5,,,,,10,3,2,3,,,,3,,,12,10
Jqpe,,,10,3,,,,4,,2,,,,,,,8,,,,,2,,7,,,,,,8,6,,,,3,,,,,4,,1,1,,,,4,,5,,5,,1,,
Ybrx,,,,,3,10,10,,2,,12,,8,,4,,,6,,5,,,5,5,10,,,5,,12,,10,,,1,,7,,,,,,3,,,10,2,2,,3,,2,,,
Pxcr,,,3,8,6,,5,,,,,,12,,,,6,,,,3,,,,5,10,,,,,,8,,,,,,,,,,,,,,,,,4,2,,,7,,8
Ltvr,5,3,,,,12,2,,,,,,7,,12,,,,,4,10,,,,,8,5,,5,,,,1,,7,10,1,,4,1,6,,,7,,,10,8,7,10,,,5,,
Ytmj,3,,,12,,,,3,,,,,,,1,4,12,,,8,,12,8,,,1,12,,3,,,5,,4,,,6,,,,,,,,,,,,,,,,2,2,12
Rxrrr,4,8,,,,4,3,8,10,,2,7,,3,7,,,,,,,,,6,3,12,1,,,,12,,,,,,,3,12,,,,5,,,,,,,12,,1,,1,5
Gxsi,10,6,,,10,,7,12,,,,5,2,,,,,4,,,2,,,,,5,,8,12,7,,1,,,,,,,,,,,,,1,,1,,8,5,7,8,,,2
Poscny,,,,,,1,1,6,,4,,8,4,7,,12,,,12,3,6,,10,,,,8,7,,,2,,,7,12,,,2,,10,,5,,8,,,,,,,2,,,,
Qjxtrc,2,,12,1,,,,,3,5,3,3,10,4,10,,,8,6,,,,12,12,6,7,,4,,6,,,,12,,,2,,,12,12,8,,12,,,12,10,12,8,,6,,6,3
Rvrslp,,,5,,,,,,,,,12,,10,,,,,5,,,6,,,2,,,,,,,,,6,2,,4,,10,,4,,,5,6,,,6,,,,3,8,10,
Ktfo,,,2,4,,,,10,7,7,6,,,,,,,,3,1,,10,4,,,,,,,3,,,12,5,,,,5,6,,8,,,,,,,12,,6,,,,,
Lqmjx,8,2,4,,,,6,,,,10,1,,12,6,,,2,,,4,,,,,,7,2,,,5,3,10,,,8,,,,,,,,,,6,6,,6,,,,,,
Toek,,,,,,5,,2,12,3,,,,6,,,7,7,4,,,,,,,,6,,6,,,,4,8,,6,,,,7,5,,12,3,10,3,,,,,12,5,10,7,
Izzln,,4,,,,,,,,,,,,,,3,,,,6,5,,3,,7,,,,,,8,,7,,4,,3,4,1,3,,10,,2,12,12,,,3,,1,,3,,
Jxwh,,,,6,,,,,,12,,,5,,5,7,,10,10,,,5,,8,,,,3,,,,,,,,12,10,,8,,,2,,,2,,7,,,1,,,12,,
Zvctv,,,7,10,12,8,,,,10,7,2,6,,,5,1,,,12,12,,,2,,,2,,,,1,,,2,,,,,,,3,,10,6,,5,,4,2,,,,,8,
Ngoswn,,,,,,,12,,,6,5,,,,2,,,,2,10,,1,,1,4,,,10,,5,,,,,,,8,8,,5,,,,,5,,,7,,7,10,,,5,
Wypl,12,,6,,7,,,1,6,,1,,,,3,6,2,5,,,,,,4,,,,,4,,4,,8,,8,7,,,,,,6,2,,,,,,,,,,,,
Ylcw,,,,,,7,4,,,,4,6,,,,,,3,1,,,,,,12,,,1,,4,3,,,,,5,,12,2,,,7,,,7,7,8,,,,,,,,
Fylmi,7,5,,,,6,,,,,,,3,,,,,,,,,4,,,,3,4,,,,10,12,,,,,,6,3,,2,,8,,,8,,,,4,,4,,,4
Ddxou,6,,,2,4,3,8,,,,8,,1,,,1,4,12,,,,,,,,2,3,12,7,10,,6,,,,,5,7,7,,,,7,,,1,,,1,,4,,,,6
Ndnxwz,1,12,,,,,,,,,,,,2,,,,,,,8,,2,,,4,,6,,,,2,,10,10,2,,,,,10,3,6,4,4,,5,3,10,,,,,4,1
Uxjiyv,,7,,7,1,,,,,,,,,,8,8,3,,,7,7,7,1,,,,,,,,,,,3,,3,12,,,,,,,1,8,,,5,,,6,12,,,
