ISC 73, Albfdc, Asmp, Bgwkys, Chienn, Dxgxa, Fgmwbz, Fuxtax, Kdkf, Kskwi, Kxxe, Ldlszf, Nepk, Ofnqni, Puycrw, Qiqzn, Quha, Rkfn, Sion, Sved, Vcfpi, Vqahhq, Vugl, Whuhqu, Wjrv, Ynaysn, Yrqqw, Zfxe, Bmxhcu, Lwuzf, Lzihpl, Imkp, Xxabu, Lxjh, Dzct, Badadf, Kcax, Mvki, Zsvsib, Wpruf, Pndyf, Ukyq, Udbgt, Jhhm, Ucjm, Omoxmm, Jpow, Fwrtu, Gfpumc, Pdds, Mxkah, Dwhr, Vpnhw, Snwid, Zjmch, Knrjuc
Albfdc, 0, 3.34821428571429, 24.8883928571429, 2.79017857142857, 5.80357142857143, 18.9732142857143, 26.3392857142857, 31.8080357142857, 25.3348214285714, 39.1741071428571, 48.8839285714286, 8.25892857142857, 27.9017857142857, 32.4776785714286, 35.0446428571429, 22.0982142857143, 28.5714285714286, 17.4107142857143, 12.0535714285714, 30.3571428571429, 1.33928571428571, 35.7142857142857, 18.75, 25.8928571428571, 0.558035714285714, 16.1830357142857, 16.9642857142857, 37.7232142857143, 25.5580357142857, 15.625, 21.875, 20.4241071428571, 26.1160714285714, 43.75, 51.5625, 22.2098214285714, 32.5892857142857, 39.0625, 9.15178571428571, 17.6339285714286, 20.4241071428571, 7.58928571428571, 33.7053571428571, 0.446428571428571, 22.9910714285714, 4.24107142857143, 11.2723214285714, 48.6607142857143, 14.0625, 25.2232142857143, 11.0491071428571, 27.2321428571429, 29.1294642857143, 10.3794642857143, 37.6116071428571
Asmp, 3.34821428571429, 0, 22.3214285714286, 7.92410714285714, 0.223214285714286, 25.8928571428571, 8.03571428571428, 8.92857142857143, 26.7857142857143, 0, 1.78571428571429, 3.79464285714286, 6.69642857142857, 10.7142857142857, 28.125, 0, 11.3839285714286, 0, 21.4285714285714, 6.13839285714286, 0.446428571428571, 25.2232142857143, 19.4196428571429, 0, 17.0758928571429, 5.35714285714286, 36.71875, 5.35714285714286, 0, 2.34375, 5.35714285714286, 8.03571428571428, 8.48214285714286, 1.67410714285714, 15.5133928571429, 18.75, 9.375, 16.9642857142857, 34.1517857142857, 26.7857142857143, 24.1071428571429, 0.892857142857143, 0, 39.9553571428571, 9.82142857142857, 44.6428571428571, 30.3571428571429, 10.7142857142857, 18.0803571428571, 10.0446428571429, 26.2276785714286, 6.02678571428571, 0.334821428571429, 5.35714285714286, 0
Bgwkys, 24.8883928571429, 22.3214285714286, 0, 14.6205357142857, 0, 26.1160714285714, 15.8482142857143, 30.5803571428571, 15.9598214285714, 25.4464285714286, 37.9464285714286, 3.90625, 25, 10.7142857142857, 53.125, 27.6785714285714, 25.2232142857143, 18.5267857142857, 0, 43.3035714285714, 25.8928571428571, 21.5401785714286, 8.92857142857143, 18.9732142857143, 23.2142857142857, 10.6026785714286, 32.9241071428571, 14.3973214285714, 34.8214285714286, 6.47321428571428, 28.0133928571429, 19.6428571428571, 8.03571428571428, 22.9910714285714, 30.3571428571429, 27.4553571428571, 22.9910714285714, 20.5357142857143, 23.2142857142857, 13.9508928571429, 14.0625, 21.4285714285714, 16.0714285714286, 28.3482142857143, 43.0803571428571, 27.9017857142857, 26.7857142857143, 11.4955357142857, 20.5357142857143, 13.3928571428571, 19.4196428571429, 43.0803571428571, 40.8482142857143, 7.36607142857143, 14.9553571428571
Chienn, 2.79017857142857, 7.92410714285714, 14.6205357142857, 0, 16.0714285714286, 12.9464285714286, 6.69642857142857, 9.48660714285714, 7.14285714285714, 7.8125, 1.33928571428571, 2.23214285714286, 21.6517857142857, 30.8035714285714, 22.7678571428571, 6.13839285714286, 30.9151785714286, 26.7857142857143, 12.5, 62.9464285714286, 21.875, 39.3973214285714, 32.1428571428571, 21.875, 28.0133928571429, 24.8883928571429, 34.8214285714286, 31.9196428571429, 11.1607142857143, 46.6517857142857, 37.0535714285714, 21.09375, 13.3928571428571, 20.4241071428571, 23.3258928571429, 14.7321428571429, 5.58035714285714, 44.4196428571429, 16.40625, 43.75, 3.57142857142857, 17.4107142857143, 16.5178571428571, 28.125, 17.0758928571429, 32.1428571428571, 38.3928571428571, 21.6517857142857, 7.92410714285714, 27.2321428571429, 31.1383928571429, 34.8214285714286, 20.0892857142857, 28.125, 29.0178571428571
Dxgxa, 5.80357142857143, 0.223214285714286, 0, 16.0714285714286, 0, 22.7678571428571, 4.01785714285714, 14.0625, 37.5, 9.15178571428571, 10.2678571428571, 31.6964285714286, 48.2142857142857, 23.7723214285714, 0, 0, 14.0625, 32.1428571428571, 9.82142857142857, 43.75, 29.4642857142857, 12.3883928571429, 19.8660714285714, 34.375, 29.0178571428571, 12.5, 47.9910714285714, 15.625, 21.875, 28.125, 15.625, 19.6428571428571, 21.4285714285714, 9.82142857142857, 3.79464285714286, 38.3928571428571, 23.4375, 14.7321428571429, 24.5535714285714, 7.8125, 16.2946428571429, 16.0714285714286, 40.1785714285714, 14.2857142857143, 33.9285714285714, 2.67857142857143, 10.4910714285714, 5.80357142857143, 40.1785714285714, 17.8571428571429, 34.375, 24.7767857142857, 33.4821428571429, 20.5357142857143, 10.7142857142857
Fgmwbz, 18.9732142857143, 25.8928571428571, 26.1160714285714, 12.9464285714286, 22.7678571428571, 0, 25, 38.8392857142857, 22.8794642857143, 18.3035714285714, 42.6339285714286, 15.625, 51.1160714285714, 19.1964285714286, 30.5803571428571, 0.892857142857143, 58.2589285714286, 13.5044642857143, 21.2053571428571, 38.7276785714286, 33.9285714285714, 56.0267857142857, 25.4464285714286, 59.8214285714286, 26.1160714285714, 13.3928571428571, 43.0803571428571, 33.9285714285714, 28.5714285714286, 46.875, 11.6071428571429, 21.2053571428571, 39.9553571428571, 25.2232142857143, 17.1875, 32.5892857142857, 26.7857142857143, 34.1517857142857, 12.9464285714286, 31.6964285714286, 68.75, 35.9375, 19.8660714285714, 69.8660714285714, 44.6428571428571, 63.8392857142857, 46.2053571428571, 55.1339285714286, 41.7410714285714, 30.6919642857143, 26.1160714285714, 8.25892857142857, 22.3214285714286, 36.6071428571429, 13.6160714285714
Fuxtax, 26.3392857142857, 8.03571428571428, 15.8482142857143, 6.69642857142857, 4.01785714285714, 25, 0, 10.4910714285714, 22.0982142857143, 17.4107142857143, 52.6785714285714, 17.6339285714286, 33.2589285714286, 18.9732142857143, 19.6428571428571, 20.0892857142857, 16.7410714285714, 3.34821428571429, 3.34821428571429, 6.91964285714286, 20.0892857142857, 25.4464285714286, 15.625, 33.9285714285714, 47.7678571428571, 9.70982142857143, 9.26339285714286, 11.9419642857143, 9.15178571428571, 30.2455357142857, 21.2053571428571, 32.3660714285714, 34.375, 10.4910714285714, 15.625, 28.125, 20.0892857142857, 1.11607142857143, 15.8482142857143, 21.4285714285714, 42.4107142857143, 28.6830357142857, 27.6785714285714, 16.2946428571429, 1.5625, 8.03571428571428, 26.7857142857143, 15.1785714285714, 36.2723214285714, 8.03571428571428, 10.9375, 20.6473214285714, 25.4464285714286, 12.5, 37.0535714285714
Kdkf, 31.8080357142857, 8.92857142857143, 30.5803571428571, 9.48660714285714, 14.0625, 38.8392857142857, 10.4910714285714, 0, 24.21875, 8.48214285714286, 26.0044642857143, 37.5, 27.9017857142857, 5.46875, 18.75, 13.8392857142857, 21.7633928571429, 13.0580357142857, 14.7321428571429, 51.3392857142857, 35.2678571428571, 31.4732142857143, 32.8125, 48.4375, 36.1607142857143, 13.6160714285714, 41.1830357142857, 19.8660714285714, 19.4196428571429, 35.0446428571429, 17.7455357142857, 21.2053571428571, 24.3303571428571, 13.0580357142857, 17.1875, 27.7901785714286, 29.6875, 42.5223214285714, 38.1696428571429, 13.3928571428571, 38.6160714285714, 42.4107142857143, 15.0669642857143, 13.8392857142857, 44.3080357142857, 31.9196428571429, 31.25, 33.2589285714286, 27.7901785714286, 29.4642857142857, 19.8660714285714, 6.25, 7.8125, 44.9776785714286, 15.9598214285714
Kskwi, 25.3348214285714, 26.7857142857143, 15.9598214285714, 7.14285714285714, 37.5, 22.8794642857143, 22.0982142857143, 24.21875, 0, 41.9642857142857, 18.3035714285714, 25.5580357142857, 18.3035714285714, 22.7678571428571, 27.6785714285714, 4.01785714285714, 35.3794642857143, 28.90625, 7.58928571428571, 24.1071428571429, 42.8571428571429, 45.8705357142857, 12.9464285714286, 53.125, 39.7321428571429, 32.5892857142857, 40.0669642857143, 42.5223214285714, 56.3616071428571, 4.57589285714286, 33.8169642857143, 32.1428571428571, 13.3928571428571, 20.9821428571429, 3.57142857142857, 35.7142857142857, 32.5892857142857, 19.6428571428571, 7.36607142857143, 42.8571428571429, 21.4285714285714, 6.58482142857143, 50.1116071428571, 27.0089285714286, 26.3392857142857, 30.6919642857143, 39.7321428571429, 29.5758928571429, 32.1428571428571, 21.4285714285714, 59.8214285714286, 20.3125, 29.3526785714286, 46.6517857142857, 33.59375
Kxxe, 39.1741071428571, 0, 25.4464285714286, 7.8125, 9.15178571428571, 18.3035714285714, 17.4107142857143, 8.48214285714286, 41.9642857142857, 0, 24.21875, 10.0446428571429, 23.1026785714286, 33.4821428571429, 51.5625, 7.8125, 38.8392857142857, 28.5714285714286, 8.03571428571428, 2.67857142857143, 7.58928571428571, 28.90625, 11.4955357142857, 30.5803571428571, 8.25892857142857, 23.6607142857143, 35.4910714285714, 25.8928571428571, 47.3214285714286, 4.46428571428571, 35.15625, 7.58928571428571, 19.7544642857143, 32.1428571428571, 15.5133928571429, 20.5357142857143, 36.1607142857143, 11.8303571428571, 3.23660714285714, 37.9464285714286, 21.3169642857143, 5.80357142857143, 58.9285714285714, 4.91071428571429, 1.33928571428571, 10.3794642857143, 10.3794642857143, 50, 11.4955357142857, 21.9866071428571, 16.8526785714286, 23.3258928571429, 38.6160714285714, 18.9732142857143, 28.5714285714286
