,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Ncgzp,,,,1,4,5,10,1,,,,,4,,,,2,,10,,10,,1,4,,,,,,4,,,6,6,,4,,2,12,,12,,,,,,5,3,,7,5,,,6,
Ybrx,,,,,,8,,12,,,,,7,,,,,10,,3,,7,,3,,1,,,,,,8,,5,,,,,5,,,4,,12,5,1,,,,,1,,12,2,1
Tmarnu,,,,,7,,,,3,,10,,,3,,,3,,,,4,12,,5,7,5,4,,4,,,,,2,,7,,,,,10,,3,2,,,12,,,,10,,,,
Wypl,,6,6,,5,,6,,2,3,3,4,10,6,4,,,,,,,1,,,,12,7,8,,,,,,,,8,12,3,,,,,,7,,,,4,1,4,8,,,,
Tfps,,,1,,,,,,,8,6,7,,,,,,8,12,,,,5,,,,,,,,3,12,,,1,,,,,,,,,,12,,,,,,,1,2,,10
Ylcw,,1,,,,,,10,,,1,,3,,,10,4,,,,2,,,,,,,10,7,,7,,10,,,,,,2,,,,12,,,,,,,,,,,,
Jqpe,5,3,,,1,2,,,,,,,1,1,,8,,,,4,,4,,,,,2,,5,,6,10,,,8,2,,7,10,3,,,,,,,,6,8,8,2,,6,,
Ukvoo,4,,3,12,,,4,2,,6,,12,,,,,1,5,,5,6,,,,,,,7,,,,5,,,,,4,,,,,,5,8,,,,,,,,,8,,
Ddxou,10,,,3,3,7,,5,10,,,,6,8,,4,,,,,,,12,8,6,,,12,,3,,2,,,5,,,,,,,,,3,,,,,2,12,7,,,,
Ggiml,7,,,,,,,3,,,,1,5,2,,,12,,4,,5,5,4,,12,3,,2,,8,8,,,4,,6,,,6,4,,1,7,,8,3,,,,,,12,,4,2
Laqvtt,,,8,5,,,,,,,5,,,,6,12,,6,1,10,,,,,,7,10,,2,,,,,,7,,1,,,8,2,,8,4,7,5,,1,,,,4,,8,7
Jxwh,1,7,,8,,,,,,,,5,,,,,8,1,5,12,7,,,1,,8,,3,,7,,1,12,,,12,,,,7,6,,,,,7,8,,,,12,,,,
Qpsrer,,8,10,2,2,6,,,7,12,,,,7,8,3,7,,8,,,,8,,1,,,,,6,,,,12,,10,8,5,4,,,7,,,,,,,7,5,,,,5,
Hdhyo,12,,,,,,,,,,8,3,,,,2,,,,7,,10,,2,,6,,,,2,,6,,7,,,6,,7,,7,6,4,,,10,1,,10,,6,6,,10,
Pxcr,,,4,,12,10,7,,,,,,,,,,6,,,,,,10,10,8,,5,5,,12,4,,,,6,,,8,1,10,,2,10,,10,,,12,12,,,7,4,,
Ktfo,,4,,7,,12,,,,5,,8,,10,,,,12,,2,,,,,,,1,,,,,,7,10,,,3,,,,,,6,,,,,2,5,,,5,,12,
Jesd,,10,,4,6,,,,6,,2,10,,,2,,,2,,,12,,,,4,,6,,12,,10,4,8,,4,,5,6,,,5,,2,,,4,4,5,,2,,,7,,8
Rvrslp,3,,2,,10,,1,,1,7,,,,12,,7,10,,2,,3,3,7,,3,4,,,1,,,3,,,3,1,,,,,,12,,10,,,3,,,3,,10,,,3
Lvvzsf,6,5,,,,,2,6,,,,,2,,,,,7,,8,1,6,,,,10,,,,10,,,5,3,,5,,1,,,,,,,,8,,,,6,,,5,,5
Lqmjx,,,,6,,,12,4,5,4,7,,,,10,5,5,4,,,,2,3,,,2,,,,,2,,1,,12,,,,,,,,,6,,6,7,,,,4,,,,
Owddsz,,12,,,8,,,,,10,4,,,,1,,,,6,,,,,6,,,8,6,10,,,,3,,,,2,,8,,1,8,,,6,,10,,3,,,,,,
Bdlemm,8,,5,,,1,,8,8,,,,8,5,,,,,3,1,,,2,,10,,,,,1,,7,2,,,,,,,1,,,1,1,4,,6,7,,1,,,,,
Xntg,2,,,,,,5,,12,1,,,,,5,6,,,7,,,8,6,7,2,,,,,,12,,,,,,10,,,6,3,,,,,12,,10,,,,2,3,1,6
Elsnfq,,,7,,,3,,,4,,12,,,4,,,,3,,,,,,,,,,1,8,,,,4,,,3,,12,3,2,8,10,,,2,,2,8,,10,3,8,10,,12
Rxrrr,,,,10,,,3,,,,,2,,,3,1,,,,6,,,,,,,,,6,,,,,8,10,,,10,,5,4,5,,,,,,,6,,,,1,7,
Urgvk,,,12,,,4,8,7,,,,,,,7,,,,,,,,,12,,,3,4,3,,5,,,,,,7,,,12,,,,,3,,,,,,,,,,
Uxjiyv,,2,,,,,,,,2,,6,12,,12,,,,,,8,,,,5,,12,,,5,1,,,1,2,,,4,,,,3,,5,1,2,,,4,,,3,,3,4
