ISC 72, Bgwkys, Bmxhcu, Dwhr, Dxgxa, Dzct, Fgmwbz, Fuxtax, Jhhm, Kxxe, Lxjh, Lzihpl, Nepk, Ofnqni, Omoxmm, Pndyf, Puycrw, Qiqzn, Quha, Snwid, Vqahhq, Whuhqu, Wpruf, Xxabu, Ynaysn, Yrqqw, Zfxe, Zsvsib, Sion, Lwuzf, Sved, Chienn, Vugl, Imkp, Badadf, Kcax, Rkfn, Mvki, Ukyq, Udbgt, Asmp, Ucjm, Jpow, Fwrtu, Albfdc, Gfpumc, Kdkf, Pdds, Mxkah, Vcfpi, Vpnhw, Kskwi, Wjrv, Zjmch, Knrjuc, Ldlszf
Bgwkys, 0, 6.91964285714286, 81.9196428571428, 34.8214285714286, 19.6428571428571, 7.36607142857143, 25.4464285714286, 24.4419642857143, 26.1160714285714, 35.0446428571429, 38.8392857142857, 3.23660714285714, 28.5714285714286, 6.58482142857143, 61.2723214285714, 9.93303571428571, 42.8571428571429, 68.3035714285714, 12.5, 27.7901785714286, 13.3928571428571, 56.0267857142857, 27.2321428571429, 25.4464285714286, 11.1607142857143, 16.1830357142857, 9.375, 55.8035714285714, 40.4017857142857, 21.875, 37.9464285714286, 33.4821428571429, 26.4508928571429, 28.3482142857143, 55.1339285714286, 23.9955357142857, 38.8392857142857, 25.6696428571429, 26.1160714285714, 21.7633928571429, 36.3839285714286, 14.5089285714286, 16.9642857142857, 9.15178571428571, 25.2232142857143, 22.4330357142857, 41.5178571428571, 43.4151785714286, 39.9553571428571, 20.0892857142857, 29.3526785714286, 56.9196428571429, 23.7723214285714, 60.0446428571429, 26.7857142857143
Bmxhcu, 6.91964285714286, 0, 30.5803571428571, 7.25446428571428, 11.6071428571429, 19.6428571428571, 0, 4.01785714285714, 28.3482142857143, 0.558035714285714, 2.67857142857143, 17.4107142857143, 11.8303571428571, 19.4196428571429, 1.67410714285714, 11.1607142857143, 23.6607142857143, 39.0625, 32.7008928571429, 14.6205357142857, 25.78125, 11.3839285714286, 4.46428571428571, 8.03571428571428, 1.11607142857143, 12.1651785714286, 4.6875, 3.57142857142857, 8.48214285714286, 3.34821428571429, 15.1785714285714, 11.3839285714286, 1.11607142857143, 24.1071428571429, 16.9642857142857, 9.375, 17.8571428571429, 32.1428571428571, 7.14285714285714, 11.6071428571429, 6.69642857142857, 10.9375, 24.4419642857143, 30.8035714285714, 7.58928571428571, 5.35714285714286, 16.1830357142857, 12.5, 8.48214285714286, 0, 22.3214285714286, 2.90178571428571, 14.0625, 7.36607142857143, 15.625
Dwhr, 81.9196428571428, 30.5803571428571, 0, 45.7589285714286, 25.2232142857143, 52.4553571428571, 42.4107142857143, 56.25, 74.5535714285714, 23.6607142857143, 63.1696428571429, 34.8214285714286, 16.2946428571429, 50, 31.25, 28.0133928571429, 36.71875, 50, 47.3214285714286, 35.6026785714286, 30.3571428571429, 46.6517857142857, 36.1607142857143, 48.7723214285714, 25.5580357142857, 62.8348214285714, 12.6116071428571, 36.1607142857143, 74.5535714285714, 17.6339285714286, 52.4553571428571, 39.5089285714286, 51.3392857142857, 57.9241071428571, 81.9196428571428, 58.2589285714286, 49.7767857142857, 60.7142857142857, 44.9776785714286, 37.2767857142857, 41.7410714285714, 32.5892857142857, 61.3839285714286, 31.0267857142857, 26.1160714285714, 31.4732142857143, 47.9910714285714, 54.9107142857143, 58.4821428571429, 31.9196428571429, 43.9732142857143, 54.9107142857143, 48.8839285714286, 52.4553571428571, 66.0714285714286
Dxgxa, 34.8214285714286, 7.25446428571428, 45.7589285714286, 0, 13.5044642857143, 34.375, 55.8035714285714, 38.8392857142857, 7.70089285714286, 33.2589285714286, 19.4196428571429, 26.7857142857143, 28.5714285714286, 19.1964285714286, 22.3214285714286, 5.69196428571429, 12.5, 27.2321428571429, 23.2142857142857, 21.2053571428571, 7.8125, 9.375, 6.25, 26.3392857142857, 4.46428571428571, 19.4196428571429, 23.6607142857143, 16.0714285714286, 28.5714285714286, 32.5892857142857, 18.0803571428571, 24.3303571428571, 36.6071428571429, 49.7767857142857, 28.5714285714286, 25.6696428571429, 18.75, 12.7232142857143, 32.1428571428571, 33.0357142857143, 4.91071428571429, 21.4285714285714, 25.4464285714286, 15.625, 22.7678571428571, 16.9642857142857, 11.8303571428571, 16.2946428571429, 28.125, 24.7767857142857, 21.875, 16.0714285714286, 53.5714285714286, 20.0892857142857, 15.8482142857143
Dzct, 19.6428571428571, 11.6071428571429, 25.2232142857143, 13.5044642857143, 0, 33.0357142857143, 23.4375, 15.625, 13.6160714285714, 18.5267857142857, 18.0803571428571, 11.6071428571429, 5.91517857142857, 24.1071428571429, 18.3035714285714, 5.91517857142857, 6.47321428571428, 41.0714285714286, 27.4553571428571, 32.1428571428571, 5.35714285714286, 34.1517857142857, 18.3035714285714, 16.5178571428571, 4.35267857142857, 6.91964285714286, 10.2678571428571, 31.9196428571429, 22.3214285714286, 19.8660714285714, 7.8125, 16.5178571428571, 24.5535714285714, 16.0714285714286, 45.5357142857143, 25.4464285714286, 2.23214285714286, 24.1071428571429, 4.46428571428571, 16.5178571428571, 8.25892857142857, 41.2946428571429, 16.7410714285714, 15.2901785714286, 16.1830357142857, 24.3303571428571, 24.7767857142857, 48.4375, 7.25446428571428, 15.2901785714286, 10.0446428571429, 31.6964285714286, 14.9553571428571, 4.6875, 19.8660714285714
Fgmwbz, 7.36607142857143, 19.6428571428571, 52.4553571428571, 34.375, 33.0357142857143, 0, 8.70535714285714, 12.0535714285714, 10.6026785714286, 6.69642857142857, 40.5133928571429, 39.0625, 40.1785714285714, 42.6339285714286, 13.6160714285714, 16.7410714285714, 8.03571428571428, 6.91964285714286, 52.2321428571429, 8.70535714285714, 13.3928571428571, 8.92857142857143, 14.7321428571429, 18.8616071428571, 26.3392857142857, 52.6785714285714, 22.3214285714286, 0, 41.5178571428571, 20.7589285714286, 25, 15.625, 27.2321428571429, 16.2946428571429, 32.8125, 54.9107142857143, 26.7857142857143, 48.4375, 27.6785714285714, 48.2142857142857, 25, 46.875, 53.5714285714286, 22.7678571428571, 15.8482142857143, 39.5089285714286, 6.69642857142857, 15.8482142857143, 17.8571428571429, 14.2857142857143, 46.6517857142857, 8.03571428571428, 67.8571428571428, 25, 21.875
Fuxtax, 25.4464285714286, 0, 42.4107142857143, 55.8035714285714, 23.4375, 8.70535714285714, 0, 40.5133928571429, 15.1785714285714, 42.1875, 16.5178571428571, 37.0535714285714, 26.3392857142857, 57.2544642857143, 56.4732142857143, 26.5625, 28.2366071428571, 19.8660714285714, 41.6294642857143, 35.7142857142857, 22.7678571428571, 36.6071428571429, 14.2857142857143, 27.7901785714286, 27.2321428571429, 18.3035714285714, 14.1741071428571, 50.4464285714286, 28.3482142857143, 43.3035714285714, 25.8928571428571, 40.8482142857143, 42.4107142857143, 52.2321428571429, 32.1428571428571, 19.8660714285714, 33.0357142857143, 20.0892857142857, 19.1964285714286, 28.3482142857143, 16.5178571428571, 26.1160714285714, 24.7767857142857, 20.0892857142857, 15.625, 28.5714285714286, 8.03571428571428, 21.2053571428571, 32.1428571428571, 50.6696428571429, 17.4107142857143, 42.1875, 18.5267857142857, 37.5, 26.7857142857143
Jhhm, 24.4419642857143, 4.01785714285714, 56.25, 38.8392857142857, 15.625, 12.0535714285714, 40.5133928571429, 0, 25, 26.7857142857143, 16.9642857142857, 22.65625, 20.9821428571429, 23.1026785714286, 14.9553571428571, 1.45089285714286, 9.93303571428571, 14.84375, 23.9955357142857, 16.40625, 23.1026785714286, 16.0714285714286, 4.46428571428571, 26.1160714285714, 39.5089285714286, 9.48660714285714, 33.7053571428571, 20.3125, 20.6473214285714, 29.4642857142857, 10.2678571428571, 30.9151785714286, 34.4866071428571, 60.9375, 45.4241071428571, 13.1696428571429, 6.69642857142857, 9.15178571428571, 39.0625, 44.0848214285714, 23.5491071428571, 10.2678571428571, 17.8571428571429, 35.9375, 35.7142857142857, 16.7410714285714, 35.15625, 31.25, 46.875, 28.90625, 12.2767857142857, 1.22767857142857, 28.5714285714286, 18.9732142857143, 23.9955357142857
Kxxe, 26.1160714285714, 28.3482142857143, 74.5535714285714, 7.70089285714286, 13.6160714285714, 10.6026785714286, 15.1785714285714, 25, 0, 3.90625, 25.4464285714286, 21.9866071428571, 17.7455357142857, 17.8571428571429, 17.8571428571429, 11.1607142857143, 21.875, 51.4508928571429, 8.03571428571428, 40.1785714285714, 12.8348214285714, 33.3705357142857, 14.9553571428571, 22.8794642857143, 23.4375, 15.1785714285714, 23.6607142857143, 20.7589285714286, 21.6517857142857, 8.14732142857143, 33.0357142857143, 20.0892857142857, 20.7589285714286, 9.48660714285714, 34.5982142857143, 8.37053571428571, 35.2678571428571, 28.5714285714286, 35.3794642857143, 8.48214285714286, 16.2946428571429, 27.34375, 29.0178571428571, 17.96875, 16.7410714285714, 22.0982142857143, 41.0714285714286, 40.0669642857143, 16.6294642857143, 17.4107142857143, 34.8214285714286, 29.1294642857143, 20.7589285714286, 19.0848214285714, 45.6473214285714
Lxjh, 35.0446428571429, 0.558035714285714, 23.6607142857143, 33.2589285714286, 18.5267857142857, 6.69642857142857, 42.1875, 26.7857142857143, 3.90625, 0, 3.01339285714286, 0, 26.3392857142857, 18.4151785714286, 34.1517857142857, 7.36607142857143, 46.875, 46.2053571428571, 13.3928571428571, 13.6160714285714, 10.0446428571429, 20.5357142857143, 13.5044642857143, 0.111607142857143, 13.8392857142857, 0, 22.5446428571429, 55.3571428571429, 14.84375, 20.5357142857143, 26.8973214285714, 15.625, 59.2633928571429, 45.3125, 13.8392857142857, 38.3928571428571, 20.5357142857143, 13.1696428571429, 20.0892857142857, 33.0357142857143, 11.3839285714286, 16.5178571428571, 18.0803571428571, 1.78571428571429, 22.3214285714286, 19.7544642857143, 18.5267857142857, 26.1160714285714, 42.4107142857143, 4.57589285714286, 23.2142857142857, 14.5089285714286, 33.9285714285714, 9.375, 11.2723214285714
