,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Ncgzp,,12,,,2,5,,,,3,,,5,,,,,10,,,,1,,,8,,,7,,,,,,6,4,,5,4,,,1,,2,,8,6,12,12,1,,,5,,,
Qpsrer,,,,3,,,1,,,,,,,,,4,,5,,,,,,7,,,,12,,,,,,,2,4,,12,,3,3,,10,,6,,,6,12,,,,,8,
Elsnfq,5,,,,,6,10,,,,,2,,,4,5,,,,7,8,3,,,6,,3,,12,,4,,,2,7,3,,,,,10,,,7,,,,,7,,,,12,2,12
Iqwxcp,,2,,5,1,,,,,8,1,,,,12,,,,2,,3,12,,12,,,8,,,4,,10,1,3,,,,8,,,,,,5,,,,4,3,,1,6,,3,2
Urgvk,,1,,,6,,3,8,,,,,,,,,,,1,12,,,7,,,,,6,4,7,3,3,,,,,6,,2,,,,7,,,1,,1,2,10,2,1,,,
Xntg,6,,,,,,,1,1,,3,,3,5,,,,3,,,,,,,,8,1,2,,,,6,5,,,,,1,,,,4,,,7,,10,8,,,,,,,
Qjxtrc,,6,,,,,5,,,5,,,,6,,,,,,1,,8,6,,,1,,,,8,7,,4,,12,,,,12,,,,1,,,7,,2,,,,,,12,
Rvrslp,2,,,,,,,4,6,,,,,,1,2,4,,,8,,,,,10,,,,,1,,,,8,,,,,,4,,,5,12,4,12,1,,,,,,,,
Puhwtl,,,12,6,,,2,,7,,,8,4,10,2,,10,,3,,,,,1,,6,6,,6,,,,,,,,7,3,,,,,,,,,,,,7,,,,5,
Ztfz,,10,,4,12,,6,,,,,,,8,,,7,2,4,,2,,,,5,,4,,5,3,,2,8,,,,,,,7,,,,8,,,,10,,,,,,,
Ggiml,,,2,12,,,,,,4,4,,,4,7,6,5,12,7,,10,2,,10,,12,,,,,10,,,,,12,,,,1,,6,12,,,,,,,8,12,4,10,,
Ngoswn,3,,,,10,1,,,,,,,,1,,,2,,,,12,7,,,,,,,8,,,,10,,8,,,10,8,8,6,,,,,4,4,,4,3,4,,,,
Rxrrr,,,3,,,12,7,10,8,12,,,,12,3,,1,,,,1,4,8,2,2,,,,,2,,,3,1,6,5,1,,1,,7,7,,,,,3,,,5,,12,8,,
Lqzrg,,,,1,,,12,12,,10,8,4,12,,10,3,,,,,,,,5,,5,,,,6,2,4,,12,5,7,,,5,5,,12,,2,,,5,,,2,,7,1,,4
Ukvoo,,,4,2,8,,,2,2,,,,1,,,,,6,,3,,,,6,,,,10,,,,,2,,,,,2,,,,2,,,10,8,,,,1,,,,,6
Avhog,,4,,8,,,,,,,6,6,8,,,1,8,,,,,,1,8,4,,,,,12,,12,6,,,,2,,,,12,8,,,,5,7,3,5,,,8,,,
Jqpe,8,,5,,,,,,,,,7,,,,,12,,5,2,5,,5,,,2,,,,,,,12,10,3,,12,5,4,12,,,,6,12,2,,,,4,7,,,10,
Laqvtt,10,7,,,,4,,,5,2,10,5,6,3,6,12,,,,,,,,,,7,7,8,,,1,,,,1,6,8,,,,,1,,,,,,,,,,,6,,10
Tsjg,4,3,,7,,7,,,,,,12,,7,,,,,,,,6,,,,,,,,,,,,5,,2,,,,,,3,3,,,10,,,,12,3,2,,7,1
Jcbsme,,,7,,5,10,,7,,,,10,2,,,,,7,,,,,4,,,,,5,2,,,7,,,,1,10,6,10,,2,,8,,,,,,,,10,,,6,5
Jxwh,1,,1,10,,,4,,4,,,3,,,5,10,6,,,10,4,,,,7,10,5,,,,,,,,,,,,3,,,,,1,,,6,7,8,,,,,,
Eklc,,,,,3,,,,10,,,1,,2,,,3,,10,6,,5,3,4,,,,3,,10,5,8,,,,,,,6,,,10,,,,3,,,,,,,3,,
Wmgiss,,,10,,4,,,6,,,2,,,,,,,,8,,,,,,,,12,,,,,,,,,,,,,10,4,,,,,,,5,,6,,,5,,7
Ltvr,12,5,,,,2,,,12,1,,,10,,,,,1,,5,,10,10,,3,,,,10,,6,,,4,,,,,,6,8,,,4,5,,,,,,5,,2,,8
Hdhyo,,8,,,,3,,5,3,,7,,,,,8,,,12,4,6,,,,12,4,2,,3,,,,7,7,,8,4,7,,,,5,6,,2,,,,6,,,3,7,,3
Wypl,7,,6,,,,,,,6,5,,,,8,7,,8,6,,7,,12,3,,3,,4,1,5,12,1,,,,,3,,,2,,,4,10,1,,2,,,,6,10,4,1,
Lram,,,8,,7,8,8,3,,7,12,,7,,,,,4,,,,,2,,1,,10,1,7,,8,5,,,10,10,,,7,,5,,,3,3,,8,,10,,8,,,4,
