ISC 78, Asmp, Bgwkys, Chienn, Gfpumc, Knrjuc, Kskwi, Kxxe, Lxjh, Lzihpl, Mxkah, Ofnqni, Omoxmm, Pdds, Pndyf, Puycrw, Qiqzn, Quha, Rkfn, Sion, Snwid, Ucjm, Udbgt, Ukyq, Vugl, Ynaysn, Yrqqw, Zsvsib, Bmxhcu, Lwuzf, Dxgxa, Nepk, Sved, Imkp, Xxabu, Vqahhq, Dzct, Badadf, Kcax, Mvki, Wpruf, Whuhqu, Zfxe, Jhhm, Jpow, Fwrtu, Albfdc, Kdkf, Fuxtax, Vcfpi, Dwhr, Vpnhw, Wjrv, Zjmch, Fgmwbz, Ldlszf
Asmp, 0, 63.3928571428571, 42.1875, 33.4821428571429, 39.84375, 38.8392857142857, 24.7767857142857, 29.4642857142857, 46.7633928571429, 32.5892857142857, 6.25, 56.6964285714286, 15.625, 20.9821428571429, 7.70089285714286, 7.36607142857143, 31.6964285714286, 14.9553571428571, 54.2410714285714, 55.8035714285714, 22.0982142857143, 13.3928571428571, 37.2767857142857, 49.7767857142857, 15.1785714285714, 32.3660714285714, 42.1875, 58.9285714285714, 46.4285714285714, 42.6339285714286, 57.1428571428571, 22.9910714285714, 21.875, 39.2857142857143, 24.7767857142857, 34.1517857142857, 54.9107142857143, 29.4642857142857, 48.2142857142857, 31.0267857142857, 38.3928571428571, 28.125, 50.8928571428571, 30.3571428571429, 59.375, 43.0803571428571, 35.7142857142857, 52.6785714285714, 68.5267857142857, 50, 43.75, 60.2678571428571, 39.7321428571429, 10.0446428571429, 53.125
Bgwkys, 63.3928571428571, 0, 15.4017857142857, 31.25, 29.0178571428571, 14.0625, 38.9508928571429, 14.1741071428571, 6.25, 7.14285714285714, 9.82142857142857, 43.0803571428571, 6.91964285714286, 27.0089285714286, 16.0714285714286, 1.11607142857143, 28.3482142857143, 12.2767857142857, 27.4553571428571, 12.0535714285714, 25.6696428571429, 21.2053571428571, 19.6428571428571, 56.6964285714286, 8.48214285714286, 20.8705357142857, 10.7142857142857, 33.2589285714286, 46.4285714285714, 9.375, 16.5178571428571, 2.23214285714286, 25.6696428571429, 12.9464285714286, 31.9196428571429, 34.375, 25.5580357142857, 12.0535714285714, 16.0714285714286, 29.6875, 19.1964285714286, 29.2410714285714, 35.6026785714286, 14.0625, 31.1383928571429, 29.4642857142857, 36.1607142857143, 17.4107142857143, 32.7008928571429, 20.9821428571429, 19.6428571428571, 23.6607142857143, 45.5357142857143, 12.7232142857143, 31.1383928571429
Chienn, 42.1875, 15.4017857142857, 0, 37.9464285714286, 35.2678571428571, 14.7321428571429, 43.5267857142857, 22.8794642857143, 14.84375, 2.67857142857143, 14.2857142857143, 68.3035714285714, 8.25892857142857, 13.3928571428571, 3.79464285714286, 7.14285714285714, 43.75, 34.1517857142857, 25, 60.7142857142857, 39.84375, 19.6428571428571, 7.8125, 52.0089285714286, 40.2901785714286, 66.0714285714286, 41.9642857142857, 26.3392857142857, 26.7857142857143, 59.375, 65.0669642857143, 43.4151785714286, 32.5892857142857, 25.8928571428571, 25.4464285714286, 32.5892857142857, 41.5178571428571, 63.3928571428571, 24.1071428571429, 51.1160714285714, 66.5178571428571, 23.6607142857143, 43.0803571428571, 15.625, 19.6428571428571, 36.1607142857143, 14.84375, 32.8125, 32.1428571428571, 7.25446428571428, 71.6517857142857, 39.7321428571429, 16.9642857142857, 34.5982142857143, 54.6875
Gfpumc, 33.4821428571429, 31.25, 37.9464285714286, 0, 75, 58.3705357142857, 58.4821428571429, 15.1785714285714, 23.1026785714286, 14.5089285714286, 21.09375, 17.6339285714286, 8.92857142857143, 51.7857142857143, 19.4196428571429, 4.01785714285714, 28.5714285714286, 19.3080357142857, 8.03571428571428, 93.9732142857143, 44.8660714285714, 15.7366071428571, 48.6607142857143, 22.0982142857143, 34.375, 15.8482142857143, 26.5625, 37.9464285714286, 22.3214285714286, 11.1607142857143, 18.5267857142857, 8.03571428571428, 31.9196428571429, 31.9196428571429, 54.9107142857143, 35.9375, 29.9107142857143, 27.9017857142857, 60.0446428571429, 37.0535714285714, 34.5982142857143, 24.7767857142857, 24.1071428571429, 52.0089285714286, 23.8839285714286, 55.5803571428571, 59.5982142857143, 68.75, 18.75, 12.0535714285714, 29.0178571428571, 31.0267857142857, 24.7767857142857, 14.2857142857143, 49.5535714285714
Knrjuc, 39.84375, 29.0178571428571, 35.2678571428571, 75, 0, 66.7410714285714, 57.2544642857143, 37.7232142857143, 66.9642857142857, 29.2410714285714, 11.4955357142857, 61.6071428571429, 59.375, 41.0714285714286, 20.8705357142857, 3.68303571428571, 39.2857142857143, 14.2857142857143, 18.5267857142857, 27.0089285714286, 62.9464285714286, 40.2901785714286, 77.6785714285714, 30.2455357142857, 6.69642857142857, 38.1696428571429, 17.96875, 45.2008928571429, 42.8571428571429, 21.2053571428571, 38.1696428571429, 19.6428571428571, 36.8303571428571, 53.3482142857143, 38.6160714285714, 51.4508928571429, 33.4821428571429, 38.3928571428571, 18.75, 40.8482142857143, 33.4821428571429, 87.9464285714286, 34.9330357142857, 78.125, 71.2053571428571, 69.9776785714286, 83.2589285714286, 63.1696428571429, 41.6294642857143, 35.7142857142857, 36.8303571428571, 49.7767857142857, 50.6696428571429, 45.7589285714286, 62.5
Kskwi, 38.8392857142857, 14.0625, 14.7321428571429, 58.3705357142857, 66.7410714285714, 0, 40.9598214285714, 13.1696428571429, 40.625, 11.71875, 16.1830357142857, 6.13839285714286, 29.6875, 17.7455357142857, 2.23214285714286, 8.48214285714286, 4.35267857142857, 16.40625, 6.47321428571428, 41.6294642857143, 15.625, 23.2142857142857, 20.0892857142857, 17.96875, 1.33928571428571, 17.96875, 30.8035714285714, 54.2410714285714, 14.6205357142857, 14.7321428571429, 28.125, 8.48214285714286, 16.7410714285714, 8.92857142857143, 26.3392857142857, 27.9017857142857, 21.7633928571429, 2.45535714285714, 30.2455357142857, 21.3169642857143, 21.875, 34.4866071428571, 31.6964285714286, 20.0892857142857, 44.53125, 46.2053571428571, 32.3660714285714, 26.4508928571429, 21.875, 25.8928571428571, 26.4508928571429, 23.6607142857143, 29.2410714285714, 14.0625, 31.0267857142857
Kxxe, 24.7767857142857, 38.9508928571429, 43.5267857142857, 58.4821428571429, 57.2544642857143, 40.9598214285714, 0, 14.9553571428571, 28.4598214285714, 32.4776785714286, 27.6785714285714, 58.0357142857143, 28.5714285714286, 32.3660714285714, 8.92857142857143, 8.48214285714286, 46.6517857142857, 45.3125, 29.9107142857143, 33.9285714285714, 83.9285714285714, 25.6696428571429, 6.13839285714286, 36.1607142857143, 16.9642857142857, 31.3616071428571, 48.2142857142857, 48.9955357142857, 37.9464285714286, 35.9375, 22.7678571428571, 34.1517857142857, 46.6517857142857, 24.7767857142857, 44.9776785714286, 60.4910714285714, 16.40625, 31.4732142857143, 27.6785714285714, 44.0848214285714, 24.4419642857143, 33.4821428571429, 33.0357142857143, 37.6116071428571, 48.2142857142857, 41.2946428571429, 32.5892857142857, 16.5178571428571, 41.2946428571429, 21.2053571428571, 39.9553571428571, 25.8928571428571, 29.0178571428571, 60.4910714285714, 38.6160714285714
Lxjh, 29.4642857142857, 14.1741071428571, 22.8794642857143, 15.1785714285714, 37.7232142857143, 13.1696428571429, 14.9553571428571, 0, 18.3035714285714, 43.8616071428571, 9.04017857142857, 20.9821428571429, 23.2142857142857, 27.2321428571429, 4.01785714285714, 12.0535714285714, 0.446428571428571, 9.26339285714286, 15.7366071428571, 21.4285714285714, 24.4419642857143, 2.56696428571429, 33.7053571428571, 10.9375, 5.58035714285714, 48.2142857142857, 19.6428571428571, 11.1607142857143, 1.5625, 13.6160714285714, 17.1875, 34.1517857142857, 44.1964285714286, 8.03571428571428, 31.25, 27.2321428571429, 26.5625, 5.24553571428571, 32.8125, 47.3214285714286, 30.8035714285714, 10.2678571428571, 52.0089285714286, 30.3571428571429, 13.6160714285714, 12.2767857142857, 18.5267857142857, 21.6517857142857, 11.6071428571429, 40.5133928571429, 31.25, 10.0446428571429, 24.7767857142857, 34.375, 20.7589285714286
Lzihpl, 46.7633928571429, 6.25, 14.84375, 23.1026785714286, 66.9642857142857, 40.625, 28.4598214285714, 18.3035714285714, 0, 24.1071428571429, 0.892857142857143, 27.7901785714286, 56.6964285714286, 18.6383928571429, 9.48660714285714, 11.1607142857143, 9.375, 10.7142857142857, 39.9553571428571, 37.5, 25.5580357142857, 28.4598214285714, 17.8571428571429, 16.2946428571429, 2.23214285714286, 13.8392857142857, 27.4553571428571, 53.5714285714286, 24.1071428571429, 31.4732142857143, 48.2142857142857, 20.4241071428571, 13.1696428571429, 36.6071428571429, 19.1964285714286, 24.3303571428571, 19.6428571428571, 1.89732142857143, 26.5625, 4.46428571428571, 15.0669642857143, 45.0892857142857, 24.5535714285714, 19.53125, 51.0044642857143, 17.4107142857143, 13.6160714285714, 37.9464285714286, 19.8660714285714, 51.1160714285714, 12.0535714285714, 17.8571428571429, 40.4017857142857, 12.7232142857143, 23.6607142857143
Mxkah, 32.5892857142857, 7.14285714285714, 2.67857142857143, 14.5089285714286, 29.2410714285714, 11.71875, 32.4776785714286, 43.8616071428571, 24.1071428571429, 0, 15.1785714285714, 18.75, 41.1830357142857, 39.2857142857143, 5.35714285714286, 18.8616071428571, 7.58928571428571, 21.875, 10.6026785714286, 23.6607142857143, 53.125, 22.0982142857143, 39.0625, 18.9732142857143, 5.69196428571429, 19.53125, 24.5535714285714, 20.4241071428571, 18.5267857142857, 35.7142857142857, 13.5044642857143, 44.6428571428571, 36.9419642857143, 26.1160714285714, 41.6294642857143, 18.75, 40.625, 21.875, 22.9910714285714, 25.5580357142857, 2.90178571428571, 15.7366071428571, 31.25, 41.9642857142857, 34.5982142857143, 6.69642857142857, 16.5178571428571, 23.1026785714286, 29.6875, 52.4553571428571, 6.69642857142857, 19.4196428571429, 13.28125, 48.3258928571429, 9.48660714285714
