,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Poscny,3,,8,,3,,,,3,2,,,,1,,,,10,1,,,,,1,,,,12,,3,,,12,,,,,,8,2,,,3,3,,4,6,7,,,,4,3,8,
Tfps,,,,,,,,,10,3,,,12,,2,1,7,3,,,,,,12,,,,3,,1,,,,,,,,12,,,8,,,6,,1,3,,,,,,,,
Zvowx,8,,4,2,,,,2,,,,,,,,10,,,,3,,10,,,7,,,,6,,,,,,,,,,,7,,,,,5,6,,12,,,,,2,3,
Uzsn,7,8,,1,,,,,,,,,,6,,5,,,12,,,,8,,,1,,8,2,,,1,,,,4,4,8,,,,,12,,12,,,,1,12,,,7,,
Ytmj,,,,,,,1,,,5,,,7,10,,7,5,,,6,,2,6,6,,2,,,8,,,,,,7,,6,,,5,12,,,5,6,,,,,,,,,,
Ktfo,,,,,,,3,10,12,,5,,,,10,4,,,,,8,,,,,,12,7,,8,7,8,4,,,5,12,,,,,1,4,,,10,8,6,5,,3,10,12,1,8
Avhog,1,7,10,5,10,,,4,,,,,,,8,,,12,3,,,,,,,,,,,,,,,4,,,,1,,,,,,,,3,,,,,,5,,,
Puhwtl,4,,2,,,,,12,6,,,4,2,,12,,,2,,,,8,,4,,,2,,5,,,,5,7,2,,,,2,8,,4,,,,,4,5,,,,,,,10
Ctxxo,,,,,6,,2,,1,,,10,,3,5,6,,,,,12,5,,10,,6,5,,,,,,2,8,,12,,,6,1,,,,,2,8,,,10,1,,,,7,
Mbzk,,12,,10,,,10,,,1,,12,,,,,,,,8,,,,8,12,,8,,3,,5,6,,,5,,,,,,,7,10,,,,,10,,7,,,,,
Ggiml,,,6,4,,8,,8,7,6,1,3,8,4,,,,,,,7,,12,,6,,,2,4,,,5,3,,,,10,3,,,,,5,2,,,7,,,10,5,,,,
Iqwxcp,,,,,,,,,,7,4,6,,8,7,8,8,4,7,,1,,5,,,3,6,10,,,,,,,1,,1,,,,6,,,8,,,2,8,12,5,,,,,12
Rvrslp,,3,,,5,12,,5,,,,,4,,4,,,,,,,,2,,,4,,5,,,8,4,10,,4,8,,5,,,1,2,2,,,2,,,,,2,12,8,12,
Jqpe,,1,7,3,,1,,3,,4,10,8,5,,,,,1,2,,4,,,3,5,,1,6,,,2,10,,,10,,,,4,6,,,,12,,,,4,7,,8,8,,5,
Lvvzsf,,,,,,3,,,,,6,,,,,,,,10,,2,7,,7,,5,,,7,4,,,,,12,7,,10,10,,3,5,1,4,,,,,2,,,,10,,
Bdlemm,6,10,,12,12,5,6,,,12,,,,,,,6,6,,12,6,,,5,,,,,,2,,7,6,2,,1,8,,,,,12,6,,,,12,1,4,3,,,6,,1
Fylmi,,6,,,7,,4,,,,7,,,,,3,10,8,,,,,,,4,,10,,1,,,2,,1,,,2,,,,10,,8,1,,,,,,,7,,,,2
Ztfz,2,,,,,,,,,,8,,,,,,1,,,5,,12,4,,8,,,,,5,,12,,,3,3,,6,,10,,,,,,,,,,,,6,,,
Lqzrg,,,12,,,4,12,,,,,5,10,5,,,3,7,,7,10,,10,,,,7,,,7,12,,8,,,2,5,,1,,,8,,7,,7,1,,6,8,,,4,6,7
Toek,10,,,,,2,,,,,,2,6,,,,2,,4,2,,1,7,,2,,,1,,10,4,,1,,,,,4,,,4,10,,,1,,,,,,6,2,,2,3
Ddxou,5,5,1,,,,,7,5,8,12,,,,,,,,,1,,,,,,10,,,10,,,,,12,,,,,12,,,,,,7,,10,2,8,4,,3,,,
Urgvk,,,,6,4,7,8,,,10,3,,1,7,1,,12,,8,4,3,,,,,,3,,12,,3,,,,8,,,,3,,5,3,,,3,12,5,,3,2,4,1,5,10,6
Qjxtrc,12,4,,8,1,10,,,2,,,,,2,,,,,5,,,4,,,3,12,4,,,6,10,3,,3,,,,,7,12,,6,,10,,,,3,,,12,,1,4,
Suocf,,2,,,,,,,,,2,7,,,,12,,5,,10,5,,,,,,,,,,6,,7,,,10,,7,,3,2,,,,,5,,,,,,,,,
Hdhyo,,,3,7,2,,7,1,4,,,1,3,,6,,,,6,,,,1,,1,,,,,12,,,,5,6,,7,,5,,,,7,,4,,,,,,1,7,,,4
Jxwh,,,,,,,,,,,,,,12,3,,4,,,,,3,3,2,,8,,,,,,,,6,,,3,2,,,,,,,10,,,,,6,10,,,,5
Tsjg,,,5,,8,6,5,6,8,,,,,,,2,,,,,,6,,,10,7,,4,,,1,,,10,,6,,,,4,7,,,,8,,,,,,,,,,
