,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Ltvr,,,,,,,8,,,,6,7,,,,,,,,,,,7,,,,,4,,6,1,,1,,,5,,12,,,,,,2,,,,7,3,,4,,,,
Tsjg,,,,2,,4,,,,,,5,,12,12,3,,,4,,6,3,,,,,,,,8,7,10,,4,,10,,,,2,,10,,6,3,,1,,,,,5,,10,
Lqzrg,1,12,,3,,12,,,,3,,,,,,12,,5,,,,10,1,,7,12,5,,,,,,,8,,,,,,,,,12,5,,,,,,10,2,,3,,
Uzsn,,,,4,1,5,,3,8,4,,,,,2,,12,3,,,,,,,,,,,7,,5,5,7,,,,,2,,,,,,,8,12,,,2,,12,,,,5
Poscny,,8,,,10,,,12,,8,,,7,3,7,,,,5,6,,,,,,,,,1,7,,3,,,,,,,,3,1,6,,10,4,,,,,,6,6,,3,
Jesd,,,10,,,7,,,,,12,,,8,10,4,3,,10,10,12,1,,,,5,8,,,,,12,5,,,,12,,,,2,,,,,3,8,,,,,,6,1,
Glvszi,8,,,10,,,4,5,,,,6,8,,3,8,2,,8,1,1,,,4,1,,3,6,,4,,,12,,10,6,,,,,10,,2,,12,4,,5,,,5,,,,
Lqmjx,,,,,4,,,,1,,,,,,,,,,,,4,6,,7,,2,,,2,,2,,3,,,,7,,4,,,,,,6,5,,,12,3,,,,,1
Lram,12,,,7,,,,7,,,8,3,12,10,,,7,,1,,,,12,,,10,,,,5,,,,,2,,6,,10,,,,4,,,,2,,10,,,,,,10
Ncgzp,4,5,4,,2,,1,6,,7,,,5,4,,,1,,,4,,4,2,8,,,2,8,,3,,,,5,7,2,1,6,12,,4,,,4,,,12,6,,,1,,,2,4
Ctxxo,,6,6,,5,3,,,,,3,,3,1,,6,6,,12,,,,,3,10,,,2,,10,,,,,,,,4,,4,,8,5,,,,,,6,6,10,2,4,,2
Vydve,7,,12,6,,,,,12,,,,,,,7,5,,2,3,,,,6,,,6,,5,,10,,,2,,8,,,3,,,,,,7,8,5,4,,,,,5,,
Wypl,,,,1,,,2,4,,,1,,4,,,,,6,,5,,,5,10,,,,,,,,,,,,,5,,6,8,3,7,1,8,,7,,,,8,,,,,
Eklc,6,,,,6,,,2,4,,10,,,,,2,,10,6,,,,6,,,,,,,,,7,,,8,1,,3,,,,,,12,,2,,2,,,3,,,4,
Ybrx,,,,,7,,6,,3,,,,,,,,,2,,,5,8,,,2,1,,,,,,,,,3,12,,,,10,,,10,,,6,,,,,,7,7,,
Ukvoo,,,3,12,12,,,10,2,,5,1,,,,5,,7,,,,,,,,7,1,12,,1,,8,,,12,3,2,,,1,,1,6,,,,4,12,7,7,,,10,,
Owddsz,2,,,,,10,12,,10,1,,,6,,,,10,8,,,3,12,3,,6,,10,,,,3,,,,,4,3,,,6,5,12,,,,1,,,,5,,3,,12,
Uxjiyv,,2,,,,,,,,,,4,2,,6,,,,,,,,,,5,8,,,3,,8,,,,,,,8,5,,,,,7,,,,3,,2,,10,12,6,
Jcbsme,,4,,,,8,7,,,5,,12,10,2,,,,1,,,,,,,4,,,,,,6,,6,,,,10,,2,,,,,,,,10,8,,4,8,8,2,7,
Bdlemm,,3,5,,,1,,8,7,6,,,1,,1,,,12,,2,10,,4,5,,,7,3,10,2,,4,,12,,7,,,,,,,3,,1,,,,4,,,,8,,12
Elsnfq,,,8,8,,6,,,,,,,,7,8,1,4,,,12,,,,12,,,4,,,,,,,1,,,8,,,,,3,7,,5,10,6,,5,,7,4,,,
Ktfo,10,,,,,,,,,,,,,6,,,,,7,8,7,7,,2,,,,1,12,,,6,,10,5,,,,,12,,4,,1,,,,,1,,,,,,6
Rvrslp,,,,,8,,10,,6,10,2,2,,,,,8,,3,,2,2,8,,,4,12,,4,,,2,8,3,,,,1,1,,12,2,,,10,,7,1,,12,,,,,7
Zvctv,,1,1,,3,,3,,,12,,,,,,,,,,,,,,,,,,5,,12,,,2,6,4,,,10,8,,6,,,,2,,3,,,1,,,1,,3
Hdhyo,3,,2,,,,5,,,,4,10,,,4,10,,,,,,5,,1,12,3,,7,,,4,,4,7,1,,,,,5,,5,,3,,,,,,,,12,,5,
Puhwtl,,7,7,5,,,,,,,,8,,,5,,,4,,,8,,,,3,6,,,8,,12,,10,,,,,7,,7,7,,,,,,,10,8,,,,,,8
Laqvtt,5,10,,,,2,,1,5,2,7,,,5,,,,,,7,,,10,,8,,,10,6,,,1,,,6,,4,5,7,,8,,8,,,,,,,,,1,,8,
