,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Iqwxcp,,,5,5,5,,,,,,6,5,,7,,7,5,,,,,,,,3,,3,5,10,1,1,,,3,4,,,3,6,,,,,,,1,,,,,,,,2,
Ylcw,10,5,,,,1,,,,12,8,,,,4,,,5,5,5,,,10,,,8,7,,2,5,,3,,,6,,5,4,,2,3,,2,,2,,5,,,8,,8,,8,6
Laqvtt,,,12,,,,,,3,7,7,4,,6,,,,,,,,6,4,8,5,6,,,,,4,,,12,8,,,,,,,,8,4,10,6,,4,,,,2,,,
Ztfz,12,,8,2,12,2,8,7,,,12,1,,1,,8,,12,,,,8,,7,10,7,,,4,,,2,3,,2,,4,6,,8,,,,2,,,,,,12,7,,3,10,
Tfps,6,,,,6,,,6,7,2,,,,,,,12,1,,,12,,12,10,,2,8,,7,,3,,10,5,,12,3,,8,,,,,,,10,,,2,7,,10,12,,10
Rvrslp,,,,,,,,2,,,,,,2,6,,,,3,1,,,7,5,,5,4,10,,2,,,12,,,,,,4,,,,,,,,,,,4,,,,,
Rxrrr,,1,,,,,7,1,1,1,2,,,8,,12,,,2,,,,3,,,,,6,,8,10,,1,,1,4,8,1,5,,8,,,,,,,,,6,1,,4,,8
Tmarnu,,4,6,,,7,,,,4,3,,,,,,7,,,8,,10,,,,,,,,,5,,,4,,,,5,3,,5,10,,,,,4,,10,,12,,,,
Wmgiss,,10,,,1,8,,12,,5,,,2,,,4,,2,,,,7,,,6,,5,,,12,,,,,,3,12,,,6,,,,7,,2,,8,,,10,12,5,3,
Jcbsme,8,8,,,,,,10,,,1,,3,,10,10,4,,,,10,,,2,4,,6,,,,,6,,,,,1,,,,,,,,1,7,,10,1,,,5,,1,
Jxwh,,,7,8,,,,,,,,,5,12,,5,,10,,12,,,,12,,,,4,,,,,,,,,2,7,10,3,12,3,6,3,3,,,,,,2,3,8,5,
Ktfo,4,,,,10,,,3,,,,2,12,,,,,,12,,,,,3,1,,10,1,12,,,,7,6,,,,8,,,4,,,,,,,,,,,6,,,4
Pxcr,7,,,,,10,,,5,,,6,4,,5,,,7,,10,2,12,,,,,2,,,7,,,,,5,,,2,,,2,,,,7,,,,5,10,,4,7,,
Ytmj,,,,,4,,3,,4,,,,,,2,,,,,,4,,1,,12,12,,,,,6,,,,12,,,,,,,,3,,,5,,,8,,5,,,,
Bdlemm,,,10,,,,,8,12,,,10,7,,,2,10,6,,,6,,8,,7,,,,,,7,,,,,8,,12,,5,,1,1,,,,12,,,,,1,,6,3
Vydve,,,2,1,,,6,,,,,,,,12,3,,,6,,,,6,,,,,,,,,1,,,3,7,,,,,1,2,7,,5,,3,3,3,,,7,,,
Wypl,1,,3,,,5,1,,,3,,,6,,,,,,,,7,5,2,,,,,8,8,3,,7,,2,,,,,,4,6,7,5,10,,,,2,,,,,,,
Jesd,,6,,,,,,,,,,,8,,1,1,,,10,3,,4,,,2,,,,5,,,,,,,1,,,,,,4,,12,,3,,,12,2,6,,,12,
Elsnfq,,7,,4,7,,,4,,6,5,,,5,7,,,,,7,1,2,,,,,,,,,,,6,1,,,7,,1,,,,,1,,,,,7,,8,,,4,12
Ngoswn,3,3,,,,,2,5,6,,,8,,3,,,8,,1,4,3,,,,8,,,,,,8,5,,10,,5,,,,,,12,4,,,8,2,5,,,,,10,,
Ltvr,,,1,7,2,,,,8,,,,,,,,3,,,,,,5,4,,10,,2,,,,,,8,,,,,7,,7,,,,8,,7,1,,,3,,,7,2
Lram,,12,,6,,,10,,,8,,,,,,6,,8,7,,,1,,1,,3,,12,,,,12,,,,6,,,,,,,,,12,4,,12,6,,,,6,,
Suocf,5,,,10,,,,,,10,,,10,,3,,6,,4,,,,,,,4,12,,1,,,10,2,7,,,,,12,7,,6,,6,,12,6,,,,,,,,1
Qjxtrc,,2,4,,3,6,4,,,,,3,,4,,,,4,,2,5,,,,,1,,7,,4,2,4,5,,,10,,10,,12,,,10,,,,10,,,1,4,,2,,
Jqpe,,,,,8,3,,,2,,10,,1,,,,1,,,6,,,,,,,,,,6,,,,,10,2,6,,,,10,5,12,5,4,,1,6,,,,,,,
Mbzk,,,,3,,4,5,,10,,,7,,,,,2,,8,,8,3,,,,,,,3,10,12,8,4,,,,10,,,10,,,,8,,,,,4,5,,,,,7
Ndnxwz,2,,,12,,12,12,,,,4,12,,10,8,,,3,,,,,,6,,,1,3,6,,,,8,,7,,,,2,1,,8,,,6,,8,7,,3,,,1,,5
