,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Glvszi,,,,10,12,4,,12,,,6,7,7,,,2,7,,,,12,10,,5,,,5,,1,,12,3,2,,,3,6,5,5,,,,8,,,6,,,,,,7,,,
Zvowx,,,,,8,,,,,,,6,,,3,,,,,,,,4,2,4,3,,8,,,6,,,,,,,3,6,3,,,4,2,10,5,10,4,,,3,,7,8,
Urgvk,7,,,1,1,,,,,8,,5,,4,,6,3,1,2,,,,,,,5,,,,4,,1,,,4,,4,,,4,,6,,,5,,4,,,4,10,,,,1
Eklc,,,1,,6,,1,,,2,,,3,,,,,,8,,4,3,,6,,2,,,,,,,10,,12,10,,,,,,12,,,4,,,,,,,8,1,,7
Rxrrr,,,2,,,,7,8,3,,,10,,2,,7,,8,,6,,,6,,,,,,,7,,,,12,,,,,,,,4,,,,3,,12,5,2,,,,3,
Fylmi,,4,,,,,,,7,5,8,,,7,4,3,2,,12,2,10,,,,,,,,3,,10,5,,,2,,,,,,,,,,,12,,,,,,3,8,10,2
Lqmjx,1,2,,,,,,,,,,12,,,,,,,,,2,,,,2,4,,,8,,5,8,,,1,,8,,,,,,,,,,,3,,,,,,,
Toek,,,,,3,,,7,4,,1,,,,,,,2,6,5,,,,,,,1,5,,,1,,,3,,8,12,2,3,5,3,2,,,3,1,,10,,1,,,,2,
Qjxtrc,2,,6,,10,,,,,,,,4,5,,10,5,,10,8,,5,,1,8,7,,,,,,7,,,,,,,,2,,,,,,7,,,3,5,,,,,4
Ndnxwz,,8,,,,,,,10,,,8,12,,5,,,,,,7,6,2,,,,4,3,,10,3,4,,,7,,7,,2,,,,,1,,,,8,6,,4,,3,12,
Jqpe,,10,,,,12,12,,,1,10,,,3,,12,,,,1,,,,10,5,,,,,,,,12,,10,2,1,,12,6,1,3,2,,,,5,,,,8,1,,,5
Tmarnu,6,,,4,,,,,,,,,5,,,,6,10,,,,,,,12,6,7,6,2,,,,8,2,8,,,12,4,,2,,6,,,,1,,,8,,4,,5,
Uzsn,,,,,,7,3,10,,,3,,,,,8,4,,1,12,,12,3,4,,,8,7,7,6,,,,,,1,3,,,,5,,,,12,2,,5,,,7,10,,6,3
Ytmj,,5,4,,,,,,,,,3,,,8,5,,5,4,,,,,,3,,,,,,,,,,6,7,,,10,,4,,12,5,,,,1,12,10,,,,4,
Ltvr,4,,,5,,,,,,10,,2,10,,,,,,,3,,4,,,,,,,,,,,5,,3,12,,8,,1,,,3,4,,,,,,,6,2,12,,
Xntg,,,8,,,,8,,,,,,8,,,,,7,3,,1,,,,7,,10,4,10,2,,12,6,5,,,,,,,,,5,,,,12,6,,,,,6,,8
Elsnfq,10,,5,,,1,,5,,12,7,,,,1,,12,,5,,,,1,12,10,,,10,4,,,,1,,,6,2,1,,,,,,,1,,6,,8,,1,,,1,
Puhwtl,8,,,12,5,2,6,2,5,,2,,6,,7,,10,,,7,,,,8,,,,,,,,2,,1,,,,,,,6,,,,,,,,,,,,,,
Uxjiyv,,12,7,2,,8,5,,,4,,,2,8,6,1,,,,,,,7,,,,2,,,,4,,,10,,,,,,,,7,1,10,6,,,,,,,6,10,,
Hdhyo,,,10,8,,,,1,,6,,,,,,,,,,,,,,,,8,,,,8,,,,6,,,,4,8,,10,8,7,8,,10,,,2,,,,5,7,
Avhog,12,,,,,,4,4,12,,4,,1,6,,,1,,,,,2,,,,10,,,,12,8,,7,,,,,,,,,,,7,8,4,,7,10,3,,,,,10
Lvvzsf,,6,3,3,7,,10,,6,,,,,1,10,,,3,,,6,,,,,12,,1,5,,,,,8,,,,,,10,7,10,,,,,2,,7,,2,5,,,12
Ggiml,3,1,,,2,,,3,,3,,,,,,,,,,,3,1,10,3,,,3,2,,,,,,4,,4,10,,,,12,5,10,6,7,8,,,1,,,,4,,
Gxsi,,,12,7,,6,,6,,,,4,,12,,,,12,7,4,8,8,12,,1,,12,12,12,5,,10,3,,,,,7,7,12,8,,,3,,,7,,,7,,,2,,
Ztfz,,3,,,,3,,,1,,12,,,10,,4,,,,,,7,5,,,1,,,6,3,2,,4,7,,5,,,1,,,,,12,,,,,4,12,,,,,6
Jesd,,7,,6,4,10,,,2,,,1,,,12,,8,4,,10,5,,8,,,,6,,,1,7,,,,5,,5,6,,7,,,,,2,,8,,,6,5,12,,,
Poscny,5,,,,,5,2,,8,7,5,,,,2,,,6,,,,,,7,6,,,,,,,6,,,,,,10,,8,,1,,,,,3,2,,,12,,,,
