,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Wypl,,2,8,,7,,,6,1,12,,,5,8,,,,,,,7,,,,,,,7,4,,4,,,,,12,4,,1,3,,,12,2,,,4,6,,,,,5,,
Wmgiss,,12,6,3,,3,6,,,,,5,,,6,7,10,,6,,,10,,,2,,,,,,6,,3,,,,5,,6,8,,6,,,,,,,,,,2,,,
Ukvoo,4,,,,4,,5,,12,1,6,,,,,8,,10,,10,,,,,,,,,,1,,2,1,,5,3,2,,4,,,,,,10,4,8,,2,6,,,,3,
Uxjiyv,,,,,,,,,5,,7,,6,12,,3,,,4,,10,,,10,,8,,5,,,,,,,,,,,,,12,,1,,,2,,1,7,12,,5,,6,
Tsjg,,,,,6,,3,,,,,,,5,8,1,,,,,1,7,,12,,3,,,,,3,3,,,,7,,,,,,,6,6,4,,,,12,,5,,10,,8
Lvvzsf,,,1,,,,10,10,,,,,2,1,,,,3,,,,,7,,,,,4,12,10,,,,3,,,3,1,8,,,,,,3,8,,,10,3,,6,3,,
Bdlemm,,10,5,,,,7,1,,,,,,10,,,,,,5,,,,2,12,4,3,,,,12,,5,12,,2,,,,4,,,,5,,,7,,6,,,,,,
Urgvk,,,,7,,,1,,,5,2,,,,12,4,,,,,,,,7,,,,10,10,,10,,,2,,,,,,,7,,,,,,,3,,,,,,7,
Puhwtl,5,4,12,,10,8,,2,,,,,,4,,10,1,,1,1,,,1,5,3,,1,,,,5,1,4,,3,,,,,,2,,10,,6,,12,12,,10,,,2,,12
Glvszi,,,,1,2,7,,,2,,,,,7,5,,,,8,4,2,,,6,,,,,,,,,7,,,,6,10,,,8,,8,,,3,,,,,6,,12,,5
Jcbsme,2,3,,,,,,,,,12,7,,,,,,,12,,8,,,,,2,,,,2,,,,,,,,,,,,,4,1,8,,,7,1,1,8,,,,7
Qpsrer,,,,4,,,,,3,10,,,12,,1,,3,,,,,2,,,,,4,3,7,,,,6,7,,4,,,,2,,,5,12,,10,10,,,,,1,7,,6
Uzsn,,8,4,,3,,8,12,,8,5,,,,2,,,7,,6,,,,4,7,,5,,1,7,,,,,,,,2,,,10,10,,8,,1,,,,5,10,,,,2
Hdhyo,8,,7,,12,,4,,,6,,6,,,7,5,2,5,,8,,,4,3,4,,,,2,6,,6,,,4,8,,7,,12,,8,3,,,,,,,,,4,,,
Jesd,,,2,2,,1,,,6,,,3,,,,,7,2,,,4,8,6,,10,10,10,12,,,8,7,12,1,,5,,,5,,,,,,2,,6,,,2,,,8,,
Poscny,,1,,,,2,,,,,,4,,3,,,8,,2,,12,,,8,,12,,,5,3,,8,,10,12,,8,,,7,,,,,,,,,,,,,,,
Qjxtrc,,,,,1,12,,7,8,,,,7,,,,,,,,6,,12,,8,,8,8,,,,4,2,6,,6,,,,,,,,,,,,2,4,7,2,,,2,
Ylcw,7,,,5,,10,,,4,,,2,,,,6,12,6,,3,,4,,1,1,,,2,,5,,12,,,1,,1,5,,5,,4,,4,,7,,,,,4,8,1,5,4
Ncgzp,,7,,,,,,,,,3,10,8,,4,12,4,,,,5,12,,,,,,,,,7,,,,,10,,,3,10,5,1,,,,,3,,,,,,6,10,
Eklc,10,,,12,,4,,,,3,8,,1,,,,,8,,2,3,6,5,,6,7,,,,,1,,10,4,6,,,4,12,6,,12,,,1,6,,,,,7,,,4,
Izzln,1,,,,,,2,,,,,8,3,,,,5,,10,7,,,10,,,6,,,,,,5,,,,,,6,7,,4,2,,,,,2,10,,,,10,,,
Ctxxo,,,,8,5,,,8,,,,,4,,,,,4,7,,,3,,,,1,2,6,3,,,,,,7,,7,,,,6,3,,10,,,,8,3,,3,,,8,10
Lqzrg,6,,,,,,,,,,4,,,2,,,6,,5,12,,,,,5,,,,6,4,,,8,,,1,,,,1,,,,,12,5,1,,,8,1,,,,
Ztfz,12,,,,,,,,7,4,,,,6,,,,12,,,,,,,,5,,1,,,,10,,8,10,,10,8,2,,,,2,7,,,,4,8,,,,,,3
Ybrx,,6,3,6,,6,,3,,,1,1,,,,,,1,,,,5,8,,,,6,,8,8,,,,,8,,12,,,,1,7,,,,,,,,,,3,,1,
Gxsi,3,5,10,,,5,,4,10,2,,12,10,,10,,,,,,,,2,,,,7,,,,2,,,5,2,,,3,,,,5,,3,5,,5,5,,,,7,4,12,
Toek,,,,10,8,,12,5,,7,10,,,,3,2,,,3,,,1,3,,,,12,,,12,,,,,,,,12,10,,3,,7,,7,12,,,5,4,12,12,,,1
